algorithm,keygen_time_ms,encap_time_ms,decap_time_ms,ciphertext_length,shared_secret_length,overhead_bytes,total_time_ms,correctness,type,text_size_kb,text_length_bytes,run_id,timestamp,security_level_bits,security_level
Classic-McEliece-8192128f,142.1959400177002,0.17523765563964844,77.25286483764648,208,32,176,219.62404251098633,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.875904,256,3
HQC-128,0.46324729919433594,0.9148120880126953,1.3930797576904297,4433,64,4369,2.771139144897461,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.878699,128,1
HQC-192,1.3203620910644531,2.774953842163086,4.040002822875977,8978,64,8914,8.135318756103516,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.886847,192,2
HQC-256,2.4499893188476562,4.925012588500977,7.402896881103516,14421,64,14357,14.777898788452148,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.901633,256,3
Kyber512,0.012159347534179688,0.010967254638671875,0.007152557373046875,768,32,736,0.030279159545898438,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.901671,128,1
Kyber768,0.013113021850585938,0.02193450927734375,0.010967254638671875,1088,32,1056,0.04601478576660156,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.901723,192,2
Kyber1024,0.01621246337890625,0.016927719116210938,0.013828277587890625,1568,32,1536,0.04696846008300781,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.901778,256,3
ML-KEM-512,0.011920928955078125,0.012159347534179688,0.011920928955078125,768,32,736,0.03600120544433594,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.901820,128,1
ML-KEM-768,0.014781951904296875,0.01621246337890625,0.016927719116210938,1088,32,1056,0.04792213439941406,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.901878,192,2
ML-KEM-1024,0.022649765014648438,0.023126602172851562,0.025033950805664062,1568,32,1536,0.07081031799316406,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.901956,256,3
sntrup761,1.7421245574951172,0.07390975952148438,0.11610984802246094,1039,32,1007,1.9321441650390625,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.903895,128,1
FrodoKEM-640-AES,0.21028518676757812,0.33593177795410156,0.31685829162597656,9720,16,9704,0.8630752563476562,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.904777,128,1
FrodoKEM-640-SHAKE,1.1987686157226562,1.3501644134521484,1.3246536254882812,9720,16,9704,3.873586654663086,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.908660,128,1
FrodoKEM-976-AES,0.41794776916503906,0.6937980651855469,0.6439685821533203,15744,24,15720,1.7557144165039062,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.910426,192,2
FrodoKEM-976-SHAKE,2.6988983154296875,3.0159950256347656,2.977132797241211,15744,24,15720,8.692026138305664,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.919124,192,2
FrodoKEM-1344-AES,0.682830810546875,1.1379718780517578,1.0991096496582031,21632,32,21600,2.919912338256836,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.922061,256,3
FrodoKEM-1344-SHAKE,4.832029342651367,5.385875701904297,5.353212356567383,21632,32,21600,15.571117401123047,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.937639,256,3
BIKE-L1,6.184101104736328,0.33283233642578125,4.754066467285156,1573,32,1541,11.270999908447266,True,KEM,124.6,127590,1242,2025-04-07T11:35:27.554660,128,1
BIKE-L3,19.07515525817871,1.0190010070800781,14.81318473815918,3115,32,3083,34.90734100341797,True,KEM,124.6,127590,1242,2025-04-07T11:35:27.589575,192,2
BIKE-L5,47.647953033447266,2.526998519897461,36.84091567993164,5154,32,5122,87.01586723327637,True,KEM,124.6,127590,1242,2025-04-07T11:35:27.676597,256,3
Classic-McEliece-348864,29.69527244567871,0.034809112548828125,16.83497428894043,96,32,64,46.56505584716797,True,KEM,124.6,127590,1242,2025-04-07T11:35:27.723171,128,1
Classic-McEliece-348864f,29.844999313354492,0.03600120544433594,17.589807510375977,96,32,64,47.470808029174805,True,KEM,124.6,127590,1242,2025-04-07T11:35:27.770954,128,1
Classic-McEliece-460896,84.1820240020752,0.05793571472167969,33.0660343170166,156,32,124,117.30599403381348,True,KEM,124.6,127590,1242,2025-04-07T11:35:27.888725,192,2
Classic-McEliece-460896f,84.90872383117676,0.057220458984375,33.2489013671875,156,32,124,118.21484565734863,True,KEM,124.6,127590,1242,2025-04-07T11:35:28.006960,192,2
Classic-McEliece-6688128,647.4239826202393,0.15211105346679688,63.25984001159668,208,32,176,710.8359336853027,True,KEM,124.6,127590,1242,2025-04-07T11:35:28.717816,256,3
Classic-McEliece-6688128f,133.51821899414062,0.11014938354492188,63.09080123901367,208,32,176,196.71916961669922,True,KEM,124.6,127590,1242,2025-04-07T11:35:28.914850,256,3
Classic-McEliece-6960119,290.2400493621826,0.6690025329589844,61.49482727050781,194,32,162,352.4038791656494,True,KEM,124.6,127590,1242,2025-04-07T11:35:29.267264,256,3
Classic-McEliece-6960119f,129.2428970336914,0.7338523864746094,61.21230125427246,194,32,162,191.18905067443848,True,KEM,124.6,127590,1242,2025-04-07T11:35:29.458461,256,3
Classic-McEliece-8192128,325.4539966583252,0.102996826171875,77.63886451721191,208,32,176,403.195858001709,True,KEM,124.6,127590,1242,2025-04-07T11:35:29.861682,256,3
Classic-McEliece-8192128f,140.79594612121582,0.10704994201660156,77.6071548461914,208,32,176,218.51015090942383,True,KEM,124.6,127590,1242,2025-04-07T11:35:30.080391,256,3
HQC-128,0.4467964172363281,0.9140968322753906,1.3649463653564453,4433,64,4369,2.725839614868164,True,KEM,124.6,127590,1242,2025-04-07T11:35:30.083127,128,1
HQC-192,1.3642311096191406,2.6738643646240234,4.0340423583984375,8978,64,8914,8.072137832641602,True,KEM,124.6,127590,1242,2025-04-07T11:35:30.091222,192,2
HQC-256,2.4728775024414062,4.904270172119141,7.387876510620117,14421,64,14357,14.765024185180664,True,KEM,124.6,127590,1242,2025-04-07T11:35:30.106003,256,3
Kyber512,0.013113021850585938,0.012159347534179688,0.007867813110351562,768,32,736,0.03314018249511719,True,KEM,124.6,127590,1242,2025-04-07T11:35:30.106049,128,1
Kyber768,0.013828277587890625,0.0209808349609375,0.010967254638671875,1088,32,1056,0.0457763671875,True,KEM,124.6,127590,1242,2025-04-07T11:35:30.106102,192,2
